department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs,placement_selected
CE,Online,No,76,63,69,44,5.6,2,0
ECE,Online,Yes,63,85,61,45,4.7,0,1
CE,Online,No,71,96,33,48,4.6,5,0
CE,Offline,Yes,65,80,87,73,4.3,1,1
CSE,Online,No,80,65,68,92,3.4,0,1
CSE,Hybrid,No,88,38,83,63,4.9,3,0
ECE,Hybrid,No,62,64,45,53,4.8,4,0
CE,Offline,Yes,93,74,63,98,5.5,5,1
ECE,Online,No,53,54,60,79,4.4,2,0
CE,Online,No,84,78,57,56,5.5,2,1
ME,Online,No,67,73,59,87,4.9,2,1
ME,Online,No,98,36,54,33,1.6,0,0
CE,Hybrid,Yes,85,84,29,60,3.8,2,0
CE,Offline,No,96,37,68,59,3.5,3,0
ECE,Online,No,72,64,33,66,6.8,5,0
CSE,Hybrid,No,83,60,39,95,4.3,1,1
CSE,Offline,Yes,68,96,38,69,5.9,5,0
CE,Hybrid,No,72,80,86,92,4.7,2,1
EE,Online,Yes,77,98,89,73,5.5,3,1
CE,Offline,Yes,72,98,67,32,8.2,5,0
ECE,Hybrid,No,53,88,51,87,7.9,4,1
CE,Online,Yes,57,62,86,90,6.2,4,0
ECE,Offline,No,73,73,67,37,1.8,4,0
CE,Hybrid,No,65,58,52,35,5,3,0
CSE,Offline,Yes,56,88,92,81,6.4,5,1
CSE,Online,Yes,64,57,49,62,2,5,0
EE,Offline,Yes,50,51,98,66,2.4,5,0
CE,Offline,Yes,98,84,76,34,3.3,5,0
EE,Online,No,86,44,51,92,4.2,0,1
CSE,Hybrid,Yes,66,55,75,79,7.2,2,1
CSE,Online,No,90,67,26,74,3.9,3,0
ME,Online,No,65,75,40,54,3.2,3,0
CSE,Hybrid,No,66,92,34,35,4.3,0,0
EE,Hybrid,No,69,38,87,85,2.8,5,0
ECE,Online,No,56,43,50,66,5.7,5,0
ME,Offline,No,81,77,55,67,2,5,0
ME,Online,Yes,93,94,46,55,6.2,1,1
CSE,Offline,No,94,49,41,32,2.1,2,0
EE,Offline,Yes,71,35,73,35,7.1,2,0
CE,Offline,Yes,83,86,48,98,5,1,1
ECE,Hybrid,No,69,40,59,65,4.3,5,0
ECE,Online,Yes,58,85,90,61,6.6,5,0
CSE,Offline,No,71,86,33,70,3.6,1,0
EE,Offline,Yes,51,57,39,35,4.2,2,0
CE,Offline,Yes,60,92,61,51,3.8,4,0
ECE,Hybrid,Yes,81,95,31,82,3.6,5,0
ME,Online,Yes,52,83,88,35,4.6,5,0
CSE,Hybrid,Yes,76,39,62,88,6.7,5,0
ECE,Hybrid,No,89,61,81,65,4.9,4,0
EE,Offline,Yes,96,51,91,44,4.7,5,0
ME,Online,No,80,57,30,97,5.8,4,0
EE,Offline,No,79,88,83,94,5.1,3,1
CE,Hybrid,No,54,59,29,38,5.6,4,0
CE,Offline,No,65,64,56,67,5.2,4,0
ECE,Online,Yes,94,61,43,58,6.6,2,0
ECE,Online,No,66,96,31,50,7.8,5,0
ECE,Hybrid,No,55,97,64,75,5.8,4,0
ME,Hybrid,Yes,82,66,69,63,7.1,5,0
ECE,Online,No,96,52,35,67,3.1,5,0
EE,Offline,Yes,95,77,58,46,3,3,0
CSE,Online,No,85,89,95,93,5.5,4,1
ME,Hybrid,Yes,86,62,73,58,5,3,0
ME,Hybrid,No,81,41,82,95,4.2,3,0
CE,Hybrid,No,84,65,96,62,4.9,4,0
ECE,Offline,No,78,50,59,64,7.1,2,0
EE,Offline,No,95,37,31,74,4.8,4,0
ECE,Hybrid,Yes,63,83,37,41,3.9,2,0
EE,Hybrid,No,59,48,67,57,4.5,4,0
ME,Offline,No,63,40,35,64,6.1,3,0
ME,Offline,Yes,96,53,89,34,5.8,2,0
EE,Hybrid,Yes,70,45,84,34,7.2,0,1
CE,Offline,No,67,62,56,51,7.3,2,0
ECE,Hybrid,No,78,94,83,31,4.1,4,0
ME,Online,No,74,98,42,74,2.8,4,0
EE,Online,Yes,90,68,94,85,4,0,1
CSE,Hybrid,Yes,92,65,94,97,3.8,3,1
CE,Online,No,76,97,69,69,5.8,3,1
ECE,Hybrid,Yes,62,64,34,69,4.7,4,0
ME,Hybrid,No,59,51,99,92,8.5,4,1
CE,Offline,No,63,64,80,37,5.7,5,0
CE,Offline,Yes,95,68,37,83,2.7,4,0
EE,Offline,No,53,71,31,70,4.2,0,0
ME,Offline,Yes,93,67,77,97,5.7,5,1
CSE,Hybrid,Yes,86,81,94,46,3.8,2,1
ECE,Hybrid,Yes,51,62,41,77,3.8,1,0
ME,Offline,No,91,86,71,60,3.6,0,1
CE,Online,Yes,57,70,44,30,2.1,5,0
CSE,Hybrid,Yes,87,86,59,70,2.1,3,0
CSE,Online,No,73,49,84,49,5.5,3,0
EE,Hybrid,Yes,85,85,57,80,3.8,1,1
CE,Offline,No,54,97,40,99,5.8,1,1
ECE,Hybrid,Yes,95,44,39,56,5.5,0,0
CSE,Offline,Yes,94,88,91,32,7.5,4,1
ME,Online,Yes,82,67,83,96,4.3,3,1
CE,Online,No,51,40,64,31,7,4,0
ME,Online,Yes,84,98,97,73,4,1,1
CE,Offline,Yes,79,42,79,49,7.3,4,0
CSE,Offline,Yes,55,58,92,64,4.2,0,1
EE,Offline,Yes,91,83,99,56,7.1,4,1
ME,Offline,No,54,83,29,30,4.4,1,0
CSE,Hybrid,No,61,38,86,49,4.7,1,0
ECE,Offline,Yes,92,48,83,38,6.4,1,1
ME,Hybrid,No,57,94,82,82,6.6,2,1
CE,Online,Yes,69,49,59,31,4.6,4,0
CE,Hybrid,Yes,83,70,52,90,5.2,5,0
ME,Online,Yes,70,68,73,35,5.9,5,0
EE,Hybrid,No,87,53,70,43,3.5,4,0
CSE,Offline,No,56,57,35,61,5.4,2,0
ME,Hybrid,Yes,74,98,29,88,7.7,0,1
ME,Hybrid,Yes,72,39,67,77,5.3,4,0
ECE,Offline,Yes,90,74,92,76,5.9,4,1
ECE,Hybrid,No,91,42,90,60,5.2,4,0
CE,Online,Yes,59,50,75,95,6.7,1,1
ECE,Offline,No,87,41,63,80,3.5,4,0
ME,Hybrid,No,74,41,95,99,6.6,0,1
CE,Hybrid,Yes,61,84,39,85,4.4,2,0
CE,Offline,Yes,63,94,41,82,4,0,1
ME,Offline,No,87,49,30,43,5,1,0
EE,Online,No,57,72,67,53,6.2,4,0
CE,Online,No,64,91,97,33,4.8,5,0
CE,Online,Yes,84,97,62,60,5.9,4,1
CE,Hybrid,No,80,49,26,34,4.3,2,0
EE,Online,No,61,48,63,76,4,1,0
CE,Online,No,71,46,61,53,7.3,4,0
CSE,Online,Yes,63,69,40,85,5.4,4,0
ECE,Offline,No,60,95,41,97,7.1,5,0
ECE,Offline,Yes,60,77,83,72,1.7,3,0
CE,Offline,No,99,77,33,88,7.2,0,1
EE,Hybrid,No,61,93,61,84,3.7,5,0
CE,Online,No,58,75,89,42,5.3,2,0
ME,Offline,No,53,69,83,82,1.5,0,1
ECE,Hybrid,Yes,97,65,80,51,7.6,1,1
EE,Offline,No,97,74,56,40,5.4,5,0
CE,Hybrid,Yes,64,54,63,35,3.3,2,0
CE,Online,Yes,87,61,37,36,4.1,3,0
ECE,Offline,No,64,67,36,51,4,1,0
ECE,Offline,Yes,80,77,91,85,6.5,2,1
ECE,Offline,Yes,74,50,89,65,8.8,1,1
EE,Hybrid,Yes,65,56,68,84,5,4,0
CSE,Online,No,84,80,56,57,4.4,1,1
CE,Offline,No,60,71,52,82,3.3,3,0
ME,Offline,No,96,89,29,97,6.2,3,1
ECE,Offline,Yes,51,35,76,32,3.6,0,0
EE,Online,No,71,95,30,81,2.6,0,1
CSE,Offline,Yes,56,47,88,59,6.8,4,0
EE,Online,Yes,84,83,59,87,2.9,5,0
ECE,Online,Yes,56,81,99,96,6.9,2,1
EE,Online,No,99,51,75,45,4.1,5,0
ECE,Hybrid,Yes,57,93,80,84,4.4,3,1
ME,Online,Yes,64,88,64,86,6.6,4,1
CSE,Hybrid,Yes,81,90,73,42,5.1,1,1
EE,Hybrid,Yes,89,51,81,61,4.2,0,1
ME,Online,Yes,68,90,50,83,2.9,3,0
ME,Hybrid,No,66,92,81,78,4.6,5,0
CSE,Offline,Yes,72,98,46,34,2.7,0,0
ECE,Hybrid,Yes,73,60,97,92,6.4,2,1
CSE,Offline,No,56,48,97,65,4.6,1,1
ECE,Hybrid,No,68,72,81,96,7.4,4,1
CE,Hybrid,No,77,71,67,57,4.1,3,0
ECE,Offline,Yes,80,54,33,39,5.7,3,0
ME,Online,Yes,89,64,35,84,4.4,0,1
CSE,Online,No,82,53,36,66,4.8,2,0
ME,Hybrid,Yes,89,54,96,43,5,0,1
EE,Hybrid,No,63,98,55,53,6.2,4,0
CSE,Offline,Yes,86,65,71,42,7.7,3,0
EE,Offline,Yes,98,85,46,30,6.6,5,0
CSE,Offline,No,92,95,46,51,6.5,4,0
CSE,Offline,Yes,79,88,39,82,4.9,4,0
CE,Offline,Yes,92,83,67,90,4.1,4,1
CE,Online,Yes,97,62,91,98,7.1,2,1
CSE,Offline,No,73,92,48,70,6.1,5,0
ECE,Online,Yes,77,38,74,54,4.2,5,0
CSE,Offline,Yes,63,69,35,31,5.4,1,0
ME,Offline,Yes,82,95,41,82,5.2,2,1
EE,Online,No,94,45,77,91,4,0,1
CE,Online,No,69,98,46,63,4.4,0,1
EE,Online,No,52,36,40,77,6.7,4,0
CSE,Hybrid,No,96,63,72,97,5.3,2,1
EE,Offline,Yes,92,36,59,88,3.1,3,0
CSE,Online,No,71,90,47,58,7.6,3,1
CE,Offline,Yes,66,71,83,65,5.2,5,0
ME,Hybrid,No,85,61,56,35,7.3,1,0
ECE,Online,Yes,75,82,37,97,5.9,1,1
EE,Hybrid,No,57,94,93,52,3.5,5,0
CSE,Hybrid,Yes,96,90,26,43,4.7,2,0
CE,Hybrid,Yes,62,81,75,55,3.1,2,0
ME,Offline,Yes,99,59,57,40,7,3,0
ECE,Hybrid,No,62,72,76,90,3.9,4,0
CE,Online,Yes,66,85,42,67,6.7,5,0
ECE,Online,Yes,85,75,93,43,5.9,5,0
CSE,Hybrid,Yes,85,72,42,90,4.7,3,1
ECE,Online,No,89,68,93,80,3.2,4,1
CE,Hybrid,No,68,76,32,82,3.4,2,0
ME,Offline,Yes,52,93,32,74,4.9,1,1
CE,Offline,Yes,54,54,72,34,4.3,3,0
ME,Hybrid,Yes,93,36,72,32,4.7,5,0
CSE,Online,Yes,57,73,61,86,4.4,5,0
ECE,Hybrid,No,64,42,35,72,5.9,2,0
ME,Offline,No,64,56,86,69,2.3,2,0
CSE,Online,No,52,56,80,40,5.6,2,0
ME,Online,No,85,70,99,66,6.4,1,1
EE,Offline,Yes,62,72,25,64,4.8,1,0
CE,Offline,No,91,85,29,40,6.2,3,0
ECE,Online,Yes,62,88,92,93,5,3,1
ECE,Online,Yes,50,42,54,32,5.8,3,0
CE,Online,Yes,64,69,67,42,6.9,5,0
CSE,Online,No,98,80,82,74,5.6,5,1
CE,Online,Yes,79,58,99,46,6.3,4,0
ECE,Offline,Yes,93,46,38,88,3.9,3,0
ME,Hybrid,Yes,88,67,82,86,6.4,3,1
ECE,Hybrid,No,66,78,30,87,4.1,0,1
CSE,Offline,No,80,44,76,72,7.4,1,1
ME,Online,Yes,73,71,52,96,5.1,4,0
ECE,Hybrid,No,99,96,82,48,6.7,4,1
ECE,Online,No,95,85,28,87,5.5,5,0
EE,Offline,Yes,53,46,83,79,6,3,0
CE,Online,No,74,51,43,38,5,0,0
ECE,Online,Yes,82,98,92,58,4.9,5,1
ME,Offline,Yes,62,81,54,50,3.2,4,0
ECE,Online,No,72,81,60,53,6.2,2,1
CE,Offline,Yes,96,63,68,84,3.1,1,1
CSE,Hybrid,No,55,91,70,64,6.1,1,1
EE,Online,Yes,56,82,39,41,5.9,0,0
CE,Online,Yes,84,65,97,49,5.5,1,1
EE,Online,No,88,88,63,30,8,1,1
CE,Hybrid,Yes,86,90,83,53,2.5,5,0
CE,Online,No,59,91,93,98,4,0,1
ECE,Online,No,53,67,32,88,4.6,3,0
ECE,Hybrid,No,66,90,62,88,2.8,0,1
ME,Hybrid,Yes,72,65,56,64,5.3,1,1
ECE,Online,Yes,52,61,63,35,5.4,0,0
CSE,Hybrid,No,93,72,30,42,2.4,2,0
ECE,Hybrid,Yes,70,79,51,35,7.1,4,0
CSE,Offline,No,53,46,58,76,7.3,0,1
ECE,Online,Yes,83,89,76,54,3.6,3,0
EE,Hybrid,No,58,70,99,96,5.4,4,1
ECE,Hybrid,No,52,94,29,65,5.3,1,0
EE,Offline,No,88,72,74,44,6.3,4,0
ECE,Online,No,65,50,41,63,5.5,2,0
ME,Hybrid,No,86,88,26,30,5.9,3,0
ME,Hybrid,Yes,54,68,78,67,6.8,5,0
CSE,Hybrid,No,69,36,28,46,5.6,1,0
CE,Hybrid,No,84,84,95,78,5.4,4,1
ME,Online,Yes,52,71,55,53,6.8,4,0
CSE,Hybrid,Yes,92,48,98,37,5.3,3,0
ME,Online,Yes,92,52,51,71,2.5,3,0
EE,Hybrid,Yes,60,79,41,46,4.2,4,0
CSE,Online,No,92,83,31,95,5.4,4,1
CSE,Online,Yes,71,57,45,33,3.3,1,0
CE,Hybrid,No,91,87,58,46,5.1,2,1
ME,Offline,No,68,87,85,99,4.3,5,1
ECE,Online,No,81,95,52,67,6.8,2,1
CE,Hybrid,Yes,71,92,40,61,5.2,0,1
ECE,Offline,Yes,85,36,85,92,5.2,0,1
CSE,Offline,No,98,74,94,30,9.3,1,1
EE,Offline,No,97,56,54,71,4.2,1,1
ECE,Offline,Yes,69,45,53,98,5.3,3,0
ECE,Offline,No,75,81,39,99,5.1,5,0
EE,Online,No,64,97,90,88,4.2,0,1
ME,Online,Yes,96,37,31,71,6.6,0,1
CSE,Hybrid,No,78,49,81,41,5.9,0,1
CSE,Hybrid,Yes,52,57,46,34,2.4,2,0
CE,Online,Yes,51,64,78,94,4.4,3,0
ME,Online,Yes,96,38,65,93,5.2,2,1
CE,Online,Yes,88,41,59,80,3.6,5,0
ME,Hybrid,Yes,79,61,68,59,4.1,0,1
ECE,Offline,No,55,43,58,63,4.7,5,0
CE,Offline,Yes,84,50,67,62,4.2,0,1
ECE,Online,Yes,74,44,32,62,2.5,4,0
EE,Offline,Yes,51,49,56,55,5.8,5,0
CE,Online,Yes,70,41,42,66,3.7,4,0
EE,Offline,Yes,70,94,27,32,5.3,2,0
ME,Offline,No,87,59,43,80,5,4,0
ECE,Offline,No,56,90,31,66,1.1,4,0
EE,Offline,No,69,96,30,57,4,5,0
ECE,Offline,Yes,65,55,71,77,5.1,2,0
ECE,Hybrid,No,68,55,90,85,8.8,1,1
CSE,Hybrid,No,66,62,36,49,3.8,2,0
EE,Hybrid,Yes,79,38,58,96,6.3,0,1
CE,Hybrid,No,51,39,91,65,6.4,0,1
CSE,Offline,Yes,71,62,30,73,4.9,3,0
ME,Hybrid,No,78,47,47,86,4.1,1,0
ME,Hybrid,No,58,40,36,42,5.2,3,0
EE,Offline,No,57,75,81,91,2.7,3,0
CSE,Online,Yes,51,49,99,89,3.3,1,1
EE,Hybrid,No,79,97,44,54,3.3,3,0
CE,Hybrid,Yes,75,75,86,50,2.5,1,1
EE,Online,Yes,78,88,33,79,6.5,1,1
CSE,Online,No,97,64,51,59,4.6,2,0
ECE,Offline,Yes,58,43,49,89,4.9,0,1
EE,Offline,No,81,60,47,62,5.6,0,1
EE,Online,Yes,96,82,62,37,6.4,1,1
ECE,Hybrid,No,59,44,28,45,2.8,1,0
ECE,Offline,No,78,95,26,95,2.2,2,1
EE,Online,Yes,98,55,59,42,2.1,2,0
CSE,Offline,No,67,84,99,65,4.7,3,1
ME,Online,Yes,89,42,54,30,3.7,5,0
CE,Hybrid,No,95,95,54,34,4.3,3,0
ME,Hybrid,Yes,92,48,44,55,5.6,5,0
ECE,Hybrid,No,94,41,34,56,3.2,2,0
EE,Online,No,89,63,30,36,7.1,5,0
ME,Online,No,95,96,31,74,6.6,1,1
CSE,Offline,Yes,62,87,87,50,6.9,5,0
EE,Hybrid,Yes,60,78,49,66,5.4,0,1
CE,Online,Yes,69,86,29,75,3.4,3,0
ME,Online,Yes,92,64,94,94,4.9,5,1
CSE,Hybrid,No,97,46,85,56,4.7,2,1
ME,Online,No,51,63,83,61,6.5,2,0
CSE,Offline,Yes,83,93,41,83,5.8,3,1
ME,Hybrid,Yes,63,74,93,69,7.8,1,1
ME,Hybrid,Yes,87,92,83,60,5.5,5,0
CSE,Hybrid,No,85,99,59,44,6.1,0,1
CSE,Online,Yes,69,91,88,76,4.9,0,1
ME,Offline,No,95,95,77,52,4.9,4,1
ME,Hybrid,No,92,93,53,62,2.4,0,1
ME,Offline,Yes,68,63,97,67,3.2,1,1
CE,Offline,Yes,62,74,84,37,3.5,2,0
EE,Offline,Yes,68,64,34,62,7.6,4,0
CSE,Online,Yes,54,35,73,70,4.8,5,0
CE,Offline,No,62,39,64,83,4.4,1,0
ECE,Offline,No,58,82,59,48,5.3,1,0
CE,Offline,Yes,86,61,29,81,4.1,4,0
ECE,Hybrid,No,62,66,58,68,3.8,3,0
EE,Offline,Yes,50,65,41,49,5.8,3,0
ME,Online,No,67,45,94,94,5,3,1
CE,Offline,No,93,90,75,37,3.4,3,0
ME,Online,No,96,77,94,74,6.9,1,1
EE,Offline,Yes,65,40,72,39,5.5,2,0
EE,Online,Yes,84,93,55,89,4.2,2,1
ECE,Offline,Yes,94,42,58,56,6.2,3,0
CE,Hybrid,Yes,63,94,49,59,4.5,2,0
ECE,Online,No,68,98,42,61,5.4,5,0
ME,Hybrid,No,52,44,53,69,4.6,5,0
CSE,Online,No,74,38,87,43,3.8,2,0
EE,Offline,Yes,55,81,58,69,2.2,3,0
CSE,Offline,Yes,69,70,93,73,8.2,4,1
ECE,Online,No,67,36,73,82,5.2,0,1
EE,Offline,No,81,67,32,69,5.7,3,0
EE,Online,Yes,88,57,56,95,4.9,4,0
ECE,Hybrid,Yes,52,67,57,63,5.9,4,0
EE,Hybrid,Yes,98,43,42,73,4.7,0,1
CE,Hybrid,No,61,51,55,54,3.6,5,0
ME,Hybrid,Yes,70,99,34,56,5.9,5,0
ME,Offline,Yes,88,38,63,36,4.3,1,0
CE,Offline,No,66,40,94,88,3.9,2,1
ECE,Offline,Yes,85,45,42,76,6,2,0
EE,Hybrid,No,93,35,63,52,4.3,4,0
CSE,Online,Yes,62,57,71,83,3.8,5,0
CE,Offline,Yes,90,50,71,57,3.7,4,0
ME,Offline,No,98,50,64,42,7.9,3,0
ECE,Offline,No,51,46,50,38,3.2,2,0
CSE,Offline,No,61,89,65,97,3.4,5,0
EE,Offline,No,86,70,71,91,3.2,2,1
CE,Online,Yes,77,67,52,47,4.2,1,0
ECE,Online,Yes,60,93,41,76,5.4,4,0
ME,Online,Yes,78,35,54,31,6.4,1,0
ECE,Hybrid,Yes,83,93,82,38,6.2,0,1
CSE,Hybrid,Yes,83,70,63,87,4.7,2,1
ECE,Hybrid,No,74,66,84,50,4.3,3,0
ECE,Offline,Yes,99,44,86,86,5.6,5,0
CE,Online,No,90,96,90,93,4.6,3,1
CSE,Online,No,92,39,55,69,5.2,1,0
ECE,Hybrid,Yes,68,78,92,39,5.1,1,1
CSE,Offline,Yes,80,49,52,35,4.9,2,0
CSE,Offline,Yes,96,50,31,78,3.5,3,0
ECE,Online,Yes,70,90,82,32,6.2,4,0
EE,Hybrid,Yes,97,55,60,35,5.8,3,0
EE,Online,No,71,50,31,67,5.2,4,0
EE,Hybrid,Yes,82,67,90,33,6.3,1,1
ME,Hybrid,No,50,66,46,75,5.4,2,0
CSE,Online,Yes,94,42,67,66,3.5,0,1
ME,Hybrid,Yes,57,56,51,30,3.9,2,0
ME,Hybrid,Yes,73,69,28,79,3.3,5,0
EE,Offline,No,95,59,86,42,3.3,1,1
EE,Online,No,93,55,93,51,4.4,3,0
ECE,Hybrid,Yes,96,46,69,38,4.2,2,0
CSE,Hybrid,Yes,92,97,85,75,4,2,1
EE,Offline,Yes,96,46,67,51,6.6,1,1
CSE,Hybrid,Yes,69,36,98,32,5.4,3,0
CE,Online,No,50,88,88,37,4.4,3,0
EE,Offline,Yes,56,93,45,74,4.3,4,0
CSE,Offline,No,72,72,89,31,4.8,3,0
CSE,Offline,No,67,65,92,53,6.9,5,0
CE,Online,No,71,62,76,41,5.7,2,0
CE,Hybrid,Yes,51,44,94,56,5.1,0,1
ME,Online,No,95,47,85,70,5.7,5,0
CSE,Offline,No,71,90,79,55,4.3,3,0
CE,Hybrid,No,96,68,76,75,6.2,4,1
CE,Hybrid,No,51,66,25,50,3.8,3,0
ECE,Offline,Yes,96,89,80,70,3.4,3,1
ECE,Hybrid,Yes,96,54,69,31,3.9,5,0
ME,Offline,No,63,66,49,84,4.2,4,0
ME,Offline,Yes,65,75,47,52,4.5,1,0
ECE,Online,Yes,68,91,99,93,3.2,1,1
ME,Offline,No,88,55,67,95,4.8,0,1
ME,Online,No,54,69,59,83,4.1,1,1
CSE,Online,Yes,58,61,61,82,8.2,1,1
ME,Offline,No,75,56,93,75,5.6,2,1
EE,Online,Yes,93,46,49,36,2.8,3,0
EE,Offline,No,78,68,40,97,6.2,2,1
EE,Hybrid,No,79,42,30,51,4.6,4,0
CSE,Online,No,84,64,41,60,5.2,2,0
ECE,Hybrid,Yes,69,77,75,44,5,1,1
ME,Offline,No,64,39,27,63,5.9,5,0
ME,Online,Yes,90,47,91,93,5.8,1,1
CSE,Online,No,60,44,64,67,5.5,5,0
EE,Hybrid,Yes,86,80,81,70,4.7,4,1
CSE,Offline,Yes,90,93,28,78,6.2,2,1
ECE,Offline,No,71,98,81,65,5.8,2,1
CSE,Hybrid,No,76,60,63,43,7.7,1,1
CE,Hybrid,No,51,48,95,94,5.9,1,1
EE,Online,Yes,63,65,49,34,6.4,1,0
CSE,Hybrid,Yes,94,44,92,67,4,3,0
ECE,Offline,Yes,92,99,36,90,5.1,0,1
ECE,Online,Yes,53,63,82,58,6,3,0
EE,Online,No,85,53,93,99,5.4,5,1
ME,Online,No,75,45,61,90,8.6,4,0
ME,Online,No,58,52,62,46,3.7,5,0
CE,Offline,No,86,65,40,72,5.5,5,0
ME,Online,Yes,52,82,43,86,3.5,4,0
CE,Offline,Yes,76,74,32,33,5.3,5,0
CSE,Offline,No,92,68,41,33,4.5,5,0
EE,Offline,Yes,56,51,87,50,5.3,3,0
ECE,Offline,Yes,98,36,96,50,4.7,2,0
CSE,Offline,Yes,95,45,97,75,4.4,1,1
ECE,Online,Yes,63,69,53,68,3.9,0,1
CE,Hybrid,Yes,97,60,87,51,6,3,1
EE,Offline,No,84,44,50,38,3.2,4,0
EE,Hybrid,Yes,63,63,93,77,5.2,5,0
ME,Offline,No,52,78,34,36,5.7,0,0
CSE,Hybrid,Yes,92,92,72,40,3.1,5,0
EE,Offline,Yes,53,88,38,49,4.1,3,0
CE,Offline,No,90,89,61,39,7.6,5,0
CSE,Hybrid,Yes,96,50,42,71,4.5,0,1
EE,Offline,No,97,99,69,50,4.2,2,1
CE,Offline,Yes,84,68,56,55,4.1,3,0
ECE,Offline,No,62,50,54,49,5.7,2,0
ME,Hybrid,No,53,89,76,36,6.7,3,0
ECE,Online,No,70,94,98,83,3.5,0,1
ECE,Offline,Yes,73,93,39,76,4.4,5,0
EE,Hybrid,No,70,81,48,33,1.6,1,0
ECE,Online,Yes,83,56,97,52,5.5,5,0
CSE,Online,No,55,43,52,93,4.6,0,1
CE,Offline,Yes,88,80,92,67,4.3,2,1
ECE,Online,No,91,48,98,60,3.4,3,0
EE,Offline,Yes,86,75,31,57,2.3,3,0
EE,Online,Yes,72,63,76,81,2.5,4,0
ECE,Online,No,82,38,97,37,4.5,5,0
CSE,Offline,No,69,45,77,60,7.5,3,0
ME,Hybrid,No,83,89,72,95,5.5,1,1
CE,Hybrid,No,54,44,66,33,2.9,3,0
EE,Offline,Yes,81,66,25,55,7.3,0,1
ECE,Online,No,94,86,46,98,4,4,1
ECE,Offline,Yes,50,57,58,34,4.1,5,0
ECE,Online,No,62,67,51,96,7.3,5,0
ECE,Hybrid,No,84,93,86,79,3.8,2,1
CE,Offline,No,70,60,72,38,1.4,2,0
CE,Hybrid,No,86,68,49,90,5.1,3,1
CE,Offline,No,98,36,71,45,5,5,0
CE,Hybrid,Yes,76,98,85,82,3.8,3,1
CSE,Offline,No,51,42,75,49,4.8,1,0
ECE,Hybrid,No,71,63,88,96,6.5,3,1
ECE,Online,Yes,64,98,80,98,6.1,3,1
CSE,Hybrid,Yes,82,89,32,82,4.6,1,1
ECE,Offline,Yes,70,97,91,83,10.8,2,1
ME,Hybrid,Yes,62,37,32,59,2.7,2,0
ECE,Offline,No,58,38,77,91,2.8,0,1
CE,Offline,Yes,88,41,31,47,5.3,3,0
CSE,Hybrid,Yes,95,46,31,68,5.4,2,0
CSE,Offline,No,58,67,98,35,5.6,2,0
ECE,Offline,Yes,55,91,88,83,5.7,1,1
EE,Online,Yes,80,75,44,40,5.9,0,1
ECE,Hybrid,Yes,70,78,42,99,2.5,1,1
CE,Online,Yes,76,76,73,52,6.9,1,1
CE,Offline,Yes,75,60,96,50,4.2,4,0
CSE,Hybrid,No,90,47,79,50,2.3,5,0
ECE,Online,Yes,51,64,96,69,5.3,5,0
CE,Online,Yes,97,99,26,86,4.7,3,1
ME,Offline,Yes,61,71,46,49,7.4,0,1
ME,Hybrid,No,94,94,28,82,2.7,1,1
CE,Hybrid,No,52,50,54,55,4.7,5,0
CE,Online,Yes,68,50,37,56,6.4,0,0
EE,Hybrid,No,84,51,72,33,3.5,1,0
EE,Offline,No,93,84,97,34,3,0,1
CE,Hybrid,Yes,62,58,98,81,5.6,4,0
CE,Online,No,86,92,26,45,4.3,0,1
CSE,Hybrid,Yes,78,67,96,69,3.8,0,1
EE,Hybrid,No,84,40,73,55,3,5,0
EE,Hybrid,Yes,71,66,76,99,6.9,2,1
EE,Hybrid,No,90,62,26,37,6.8,4,0
ME,Online,Yes,82,56,31,81,5.7,3,0
CE,Hybrid,Yes,63,46,82,40,5,3,0
ECE,Hybrid,No,53,94,61,61,5,5,0
EE,Hybrid,Yes,52,49,67,80,4.6,2,0
ME,Online,No,84,41,80,80,7.6,5,0
ECE,Online,No,56,42,79,65,4.7,4,0
CSE,Hybrid,Yes,77,64,73,33,3.8,5,0
ME,Hybrid,Yes,80,67,51,97,5.9,2,1
ME,Hybrid,No,80,52,45,62,4.8,0,1
ECE,Offline,No,87,59,53,57,7.4,4,0
CSE,Hybrid,No,72,99,60,98,2.8,1,1
ME,Offline,No,70,68,97,59,5,2,1
CE,Online,Yes,94,72,57,63,6,0,1
ME,Online,No,87,40,31,61,4.1,4,0
CSE,Offline,No,94,90,32,68,6.1,4,0
CE,Hybrid,No,86,44,89,45,3.8,0,1
CSE,Online,Yes,73,39,75,74,6,2,0
CSE,Online,Yes,85,51,78,59,7.3,5,0
EE,Hybrid,No,91,61,59,53,5.4,2,0
ECE,Online,No,80,83,54,84,5.3,1,1
ME,Hybrid,Yes,94,78,51,47,6.5,0,1
ECE,Hybrid,No,81,81,78,88,4.6,1,1
ECE,Online,No,75,62,70,95,5.1,5,0
EE,Online,Yes,94,54,32,56,5,1,0
CSE,Offline,Yes,94,65,51,38,5.6,1,0
CE,Hybrid,No,68,41,54,76,6.7,5,0
CSE,Online,Yes,70,53,93,40,4.8,4,0
ME,Online,Yes,89,84,55,72,6.6,3,1
CSE,Online,Yes,78,90,28,56,4.7,4,0
CSE,Offline,No,66,46,63,89,5.3,2,0
CE,Offline,No,97,37,88,62,7.2,3,1
EE,Online,No,73,54,90,88,4.7,2,1
CSE,Online,No,86,57,30,89,7,4,0
CSE,Offline,Yes,87,98,47,57,6.4,4,0
